hidden_layers,loss_types,learning_rates,epochs,batch_sizes,train,test
8-4-2,huber,0.01,100,2,0.913730640006497,1.36755707848557
7-4-3-2,huber,0.01,100,2,1.15749281822727,1.53394561773756
9-6-4-3,huber,0.01,100,2,1.19810272077492,2.01513983244139
10-5-3-2,huber,0.01,100,2,1.22802900318969,1.59108754559652
4-4,pseudo-huber,0.01,100,2,1.43354013118998,1.87114099799531
5-2,pseudo-huber,0.01,100,2,1.12553380081366,1.46366480804955
6-3-2,pseudo-huber,0.01,100,2,1.59803970787896,2.40523274200796
8-4-2,pseudo-huber,0.01,100,2,0.937737133401999,1.27154262122242
7-4-3-2,pseudo-huber,0.01,100,2,1.11191587821036,1.56114846530191
9-6-4-3,pseudo-huber,0.01,100,2,1.61375842862261,3.01250569958371
10-5-3-2,pseudo-huber,0.01,100,2,0.856253411004157,1.2828005727025
4-4,absolute,0.03,100,2,6.19555638354359,5.75845358280381
5-2,absolute,0.03,100,2,9.98740566044028,10.3676459222462
6-3-2,absolute,0.03,100,2,3.34282740422355,3.41051956315129
8-4-2,absolute,0.03,100,2,3.31683731591938,3.45509535011543
7-4-3-2,absolute,0.03,100,2,5.68118877872852,5.65867667915331
9-6-4-3,absolute,0.03,100,2,3.92680334178229,4.00607943412296
10-5-3-2,absolute,0.03,100,2,3.54758334573275,3.37333257650773
5-2,squared,0.03,100,2,6.1608556521743,6.60828690672094
6-3-2,squared,0.03,100,2,5.83995103254366,5.53008229994042
8-4-2,squared,0.03,100,2,6.10280333124355,6.47575050835518
7-4-3-2,squared,0.03,100,2,4.56789494051188,5.09884680761459
9-6-4-3,squared,0.03,100,2,5.63263260619371,5.99523739634583
10-5-3-2,squared,0.03,100,2,6.41338924072292,6.65562668566088
4-4,huber,0.03,100,2,1.57553238984183,1.84341846846847
5-2,huber,0.03,100,2,1.90676224828258,2.257848877371
6-3-2,huber,0.03,100,2,1.49580816745182,1.98919180729853
8-4-2,huber,0.03,100,2,1.79367963398219,2.07753692127977
7-4-3-2,huber,0.03,100,2,1.46517899322616,1.86867902142737
9-6-4-3,huber,0.03,100,2,1.9135721414193,2.54798980582044
10-5-3-2,huber,0.03,100,2,0.942287893926606,1.60505630947624
4-4,pseudo-huber,0.03,100,2,1.17660536406003,1.45080018302757
5-2,pseudo-huber,0.03,100,2,1.19206342626659,1.63673800854577
6-3-2,pseudo-huber,0.03,100,2,2.0774040181394,2.38748404696955
8-4-2,pseudo-huber,0.03,100,2,1.32902408461146,2.07538788762324
7-4-3-2,pseudo-huber,0.03,100,2,1.59074119632146,2.00147635275716
9-6-4-3,pseudo-huber,0.03,100,2,0.93077012016552,1.55020525998047
10-5-3-2,pseudo-huber,0.03,100,2,1.16413178418999,1.61138626728497
4-4,absolute,0.001,250,2,1.64594881547438,2.18472546622103
5-2,absolute,0.001,250,2,1.3129697559482,1.86537193414528
6-3-2,absolute,0.001,250,2,1.77332845491887,2.6084983404737
8-4-2,absolute,0.001,250,2,1.05787931113327,1.7112386300533
7-4-3-2,absolute,0.001,250,2,1.14248230691876,1.58892372908271
9-6-4-3,absolute,0.001,250,2,1.21687700469327,2.59392726485808
10-5-3-2,absolute,0.001,250,2,1.01378853055138,1.51201117186815
4-4,squared,0.001,250,2,1.56924680498735,2.32499552921571
5-2,squared,0.001,250,2,1.68454033604362,2.08847293976079
6-3-2,squared,0.001,250,2,1.47099296951553,2.08863468287994
8-4-2,squared,0.001,250,2,1.42700709673917,2.85149372721344
7-4-3-2,squared,0.001,250,2,1.48973798316877,2.52572860962397
9-6-4-3,squared,0.001,250,2,1.29899374377554,2.42730598634081
10-5-3-2,squared,0.001,250,2,0.958319881744241,1.6614291589854
4-4,huber,0.001,250,2,1.47679866993336,1.88624888014724
5-2,huber,0.001,250,2,1.88760148775593,2.50455163784045
6-3-2,huber,0.001,250,2,1.30302801631905,1.58758027854546
8-4-2,huber,0.001,250,2,1.46985025771295,2.14634901411982
7-4-3-2,huber,0.001,250,2,1.82203906420525,2.43591785691275
9-6-4-3,huber,0.001,250,2,1.7174566938927,2.43689664914578
10-5-3-2,huber,0.001,250,2,1.35764741036681,2.11550297251214
4-4,pseudo-huber,0.001,250,2,1.66467914565587,2.3761792642804
5-2,pseudo-huber,0.001,250,2,1.82856263864879,2.42624301825894
6-3-2,pseudo-huber,0.001,250,2,1.89148580273333,2.51491824856224
8-4-2,pseudo-huber,0.001,250,2,1.89133505184052,2.60487033878111
7-4-3-2,pseudo-huber,0.001,250,2,1.86148786006848,2.60692562927171
9-6-4-3,pseudo-huber,0.001,250,2,1.40080321054638,2.62713500042228
10-5-3-2,pseudo-huber,0.001,250,2,1.41414225129781,2.48875061978027
4-4,absolute,0.003,250,2,1.64160308664638,2.00856558504209
5-2,absolute,0.003,250,2,1.84580020516982,2.12770399850792
6-3-2,absolute,0.003,250,2,1.38832503072806,2.20921675885408
8-4-2,absolute,0.003,250,2,1.39158584533486,2.45724387001152
7-4-3-2,absolute,0.003,250,2,1.49009953376647,2.05647054316967
9-6-4-3,absolute,0.003,250,2,1.48469345207511,2.10165115566961
10-5-3-2,absolute,0.003,250,2,1.41842234773857,2.26310398087015
4-4,squared,0.003,250,2,1.45309037677344,1.95554064999595
5-2,squared,0.003,250,2,1.3898528326618,2.04803585511469
6-3-2,squared,0.003,250,2,0.722287047768983,1.13082720754799
8-4-2,squared,0.003,250,2,1.23772373539074,2.35146954347752
7-4-3-2,squared,0.003,250,2,0.703332958648377,1.09135416608404
9-6-4-3,squared,0.003,250,2,0.602530084654932,1.47835670432843
10-5-3-2,squared,0.003,250,2,0.897835819135303,1.46480031660797
4-4,huber,0.003,250,2,1.70131465849592,2.29055078049309
5-2,huber,0.003,250,2,1.59397332360402,2.36495868040738
6-3-2,huber,0.003,250,2,1.76913199714453,2.42036172079545
8-4-2,huber,0.003,250,2,1.50023643523415,2.62091710644178
7-4-3-2,huber,0.003,250,2,0.88646487779323,1.34155330930829
9-6-4-3,huber,0.003,250,2,0.886743376794786,1.29008405245413
10-5-3-2,huber,0.003,250,2,1.06252137480981,1.84844689491535
4-4,pseudo-huber,0.003,250,2,1.91347326066591,2.54761168122825
5-2,pseudo-huber,0.003,250,2,1.82572418318165,2.66946446090549
6-3-2,pseudo-huber,0.003,250,2,1.47623319315508,2.34321830353958
8-4-2,pseudo-huber,0.003,250,2,0.940708886138223,1.38108947786111
7-4-3-2,pseudo-huber,0.003,250,2,1.05999499883717,1.63135164137864
9-6-4-3,pseudo-huber,0.003,250,2,0.845775519211584,1.65792061595898
10-5-3-2,pseudo-huber,0.003,250,2,1.05734208961903,2.18011846135028
4-4,absolute,0.01,250,2,1.8235980320718,2.01695636482657
5-2,absolute,0.01,250,2,2.40535282513862,2.77389798099798
6-3-2,absolute,0.01,250,2,2.7675976795671,3.10488608982725
8-4-2,absolute,0.01,250,2,1.62508908407865,1.90944669539703
7-4-3-2,absolute,0.01,250,2,2.17035899987459,2.73015897605246
9-6-4-3,absolute,0.01,250,2,1.75027454793807,2.75607635439401
10-5-3-2,absolute,0.01,250,2,1.79758473047165,2.22029690822856
4-4,squared,0.01,250,2,2.15019336098283,2.68438580078256
5-2,squared,0.01,250,2,1.24659710416804,1.602880102306
6-3-2,squared,0.01,250,2,1.08583945003775,1.40572559376889
8-4-2,squared,0.01,250,2,0.639741759520357,1.00955404885962
7-4-3-2,squared,0.01,250,2,0.945431486373541,1.41168812327775
9-6-4-3,squared,0.01,250,2,0.562135395747612,1.37260517898592
10-5-3-2,squared,0.01,250,2,0.807319614296904,1.75301292122942
4-4,huber,0.01,250,2,1.34569112325089,1.85034150259439
5-2,huber,0.01,250,2,1.23221562832082,1.74736274516692
6-3-2,huber,0.01,250,2,1.13813818010446,1.64291852977352
8-4-2,huber,0.01,250,2,0.966708870564397,1.5966763008479
7-4-3-2,huber,0.01,250,2,0.634441593638021,0.953639510083477
9-6-4-3,huber,0.01,250,2,0.512472155501893,1.1061740801109
10-5-3-2,huber,0.01,250,2,0.514804136316611,1.1009101037554
4-4,pseudo-huber,0.01,250,2,1.66678025259655,2.11932926268601
5-2,pseudo-huber,0.01,250,2,1.58299624285682,2.44679810995055
6-3-2,pseudo-huber,0.01,250,2,1.01224451652402,1.62211678780061
8-4-2,pseudo-huber,0.01,250,2,0.955446246880256,1.49703009662862
7-4-3-2,pseudo-huber,0.01,250,2,1.33439851111298,2.59021506024391
9-6-4-3,pseudo-huber,0.01,250,2,0.488621244204054,1.07108169710871
10-5-3-2,pseudo-huber,0.01,250,2,0.69724289322693,1.38603741182133
4-4,absolute,0.03,250,2,3.4091997502248,3.17512584609086
5-2,absolute,0.03,250,2,3.09417086234823,3.30619712021004
6-3-2,absolute,0.03,250,2,3.74175107842049,4.10985630921202
8-4-2,absolute,0.03,250,2,2.70934496262485,3.28080018238769
7-4-3-2,absolute,0.03,250,2,2.51838531929185,2.72225443879631
9-6-4-3,absolute,0.03,250,2,4.40701977737129,4.24046299977771
10-5-3-2,absolute,0.03,250,2,3.62101382066555,3.66667810050923
4-4,squared,0.03,250,2,4.36205857112657,4.34593197743673
5-2,squared,0.03,250,2,3.71374678745661,3.62778541595863
6-3-2,squared,0.03,250,2,4.89276308876476,4.81079970875822
8-4-2,squared,0.03,250,2,6.08618593685289,5.57523923597394
7-4-3-2,squared,0.03,250,2,3.13481707454833,3.13429790128738
9-6-4-3,squared,0.03,250,2,3.1947589375778,3.09712971472908
10-5-3-2,squared,0.03,250,2,9.17313368565161,8.52516152384421
4-4,huber,0.03,250,2,1.34523430632332,1.84612360428236
5-2,huber,0.03,250,2,1.38321183296882,2.01616465801887
6-3-2,huber,0.03,250,2,1.55389404130613,2.02947283417397
8-4-2,huber,0.03,250,2,1.05358538805958,1.44404485081932
7-4-3-2,huber,0.03,250,2,1.85518397190901,1.98583027526125
9-6-4-3,huber,0.03,250,2,0.998963770823986,1.61394528194611
10-5-3-2,huber,0.03,250,2,1.07211002971929,1.65629084969024
4-4,pseudo-huber,0.03,250,2,2.11609006580017,2.13865576257491
5-2,pseudo-huber,0.03,250,2,1.11933495578184,1.65401101785319
6-3-2,pseudo-huber,0.03,250,2,0.987842975135853,1.38458756907736
8-4-2,pseudo-huber,0.03,250,2,1.01365968566728,1.54416705856579
7-4-3-2,pseudo-huber,0.03,250,2,0.889725464242556,1.70752474731955
9-6-4-3,pseudo-huber,0.03,250,2,0.789221591120712,1.37787356153129
10-5-3-2,pseudo-huber,0.03,250,2,0.830809084381064,1.3491473252643
4-4,absolute,0.001,500,2,0.932959617206557,1.49558848197691
5-2,absolute,0.001,500,2,1.05939380282406,1.4380802972374
6-3-2,absolute,0.001,500,2,1.04335324340614,1.49217876489056
8-4-2,absolute,0.001,500,2,0.986946712749051,1.68509136260409
7-4-3-2,absolute,0.001,500,2,1.08252646297475,1.84369629982851
9-6-4-3,absolute,0.001,500,2,0.749881378486341,1.1889374470443
10-5-3-2,absolute,0.001,500,2,0.974709943037112,2.21601070405212
4-4,squared,0.001,500,2,0.737097843625689,1.02483777031424
5-2,squared,0.001,500,2,1.20439659305002,1.80419250866111
6-3-2,squared,0.001,500,2,1.03540306763659,1.38443590817245
8-4-2,squared,0.001,500,2,0.798990115692997,1.25315634630855
7-4-3-2,squared,0.001,500,2,1.15043901409725,2.51656193136379
9-6-4-3,squared,0.001,500,2,0.577348133778531,1.07277754434337
10-5-3-2,squared,0.001,500,2,0.711747686240797,1.31520236196033
4-4,huber,0.001,500,2,1.85448534823785,2.566092951963
5-2,huber,0.001,500,2,1.63400715043766,2.48546531912924
6-3-2,huber,0.001,500,2,1.58416570134237,2.53155457635147
